,Term,SNOMED_Label,SNOMED_ID
36,ACL,Entire anterior cruciate ligament of knee joint,182443006
37,ACL,Entire anterior cruciate ligament of knee joint,182443006
38,ACL,Entire anterior cruciate ligament of knee joint,182443006
39,AD,Antidepressant,372720008
40,AD,Antidepressant,372720008
41,AD,Antidepressant,372720008
42,ADA,Adenosine deaminase,30065008
43,ADA,Adenosine deaminase,30065008
44,ADA,Adenosine deaminase,30065008
45,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
46,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
47,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
48,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
49,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
50,ADD,"Attention deficit hyperactivity disorder, predominantly inattentive type",35253001
51,ADHD,Attention deficit hyperactivity disorder,406506008
52,ADHD,Attention deficit hyperactivity disorder,406506008
53,ADHD,Attention deficit hyperactivity disorder,406506008
54,ADHD medication,Drug therapy for attention deficit hyperactivity disorder,702538008
55,ADHD medication,Drug therapy for attention deficit hyperactivity disorder,702538008
56,ADHD medication,Drug therapy for attention deficit hyperactivity disorder,702538008
57,ADHD meds,Drug therapy for attention deficit hyperactivity disorder,702538008
58,ADHD meds,Drug therapy for attention deficit hyperactivity disorder,702538008
59,ADHD meds,Drug therapy for attention deficit hyperactivity disorder,702538008
60,AFIB,Atrial fibrillation,49436004
61,AFIB,Atrial fibrillation,49436004
62,AFIB,Atrial fibrillation,49436004
63,AHI,Apnea Hypopnea Index,774099003
64,AHI,Apnea Hypopnea Index,774099003
65,AHI,Apnea Hypopnea Index,774099003
66,AIDS,Acquired immune deficiency syndrome,62479008
67,AIDS,Acquired immune deficiency syndrome,62479008
68,AIDS,Acquired immune deficiency syndrome,62479008
69,AIDs,Acquired immune deficiency syndrome,62479008
70,AIDs,Acquired immune deficiency syndrome,62479008
71,AIDs,Acquired immune deficiency syndrome,62479008
72,ALA,5-aminolevulinic acid,259496005
73,ALA,5-aminolevulinic acid,259496005
74,ALA,5-aminolevulinic acid,259496005
75,ALS,Amyotrophic lateral sclerosis,86044005
76,ALS,Amyotrophic lateral sclerosis,86044005
77,ALS,Amyotrophic lateral sclerosis,86044005
78,ALT,Alanine aminotransferase,56935002
79,ALT,Alanine aminotransferase,56935002
80,ALT,Alanine aminotransferase,56935002
81,AML,"Acute myeloid leukemia, disease",91861009
82,AML,"Acute myeloid leukemia, disease",91861009
83,AML,"Acute myeloid leukemia, disease",91861009
84,ANA,Antinuclear antibody,45530001
85,ANA,Antinuclear antibody,45530001
86,ANA,Antinuclear antibody,45530001
87,ANA test,iritis,359788000
88,ANA test,iritis,359788000
89,ANA test,iritis,359788000
90,APS,Antiphospholipid syndrome,26843008
91,APS,Antiphospholipid syndrome,26843008
92,ASA,Mesalazine,387501005
93,ASA,Mesalazine,387501005
94,ASA,Mesalazine,387501005
95,ASPD,Antisocial personality disorder,26665006
96,ASPD,Antisocial personality disorder,26665006
97,ASPD,Antisocial personality disorder,26665006
98,AST,Aspartate aminotransferase,26091008
99,AST,Aspartate aminotransferase,26091008
100,AST,Aspartate aminotransferase,26091008
101,ATP,Adenosine triphosphate,76711004
102,ATP,Adenosine triphosphate,76711004
103,ATP,Adenosine triphosphate,76711004
104,AVN,Avascular necrosis of bone,397758007
105,AVN,Avascular necrosis of bone,397758007
106,AVN,Avascular necrosis of bone,397758007
107,AVN,Avascular necrosis of bone,397758007
108,AVN,Avascular necrosis of bone,397758007
109,AZA,Incontinent,372574004
110,AZA,Incontinent,372574004
111,AZA,Incontinent,372574004
112,Ablations,Ablation - action,257729003
113,Ablations,Ablation - action,257729003
114,Ablations,Ablation - action,257729003
115,Abraxane,Albumin bound paclitaxel,426653008
116,Abraxane,Albumin bound paclitaxel,426653008
117,Abraxane,Albumin bound paclitaxel,426653008
118,Abscess,Abscess,128477000
119,Abscess,Abscess,128477000
120,Abscess,Abscess,128477000
121,Acetaminophen,Paracetamol,387517004
122,Acetaminophen,Paracetamol,387517004
123,Acetaminophen,Paracetamol,387517004
124,Achilles,Structure of Achilles tendon,61352006
125,Achilles,Structure of Achilles tendon,61352006
126,Achilles,Structure of Achilles tendon,61352006
127,Achilles tendon,Structure of Achilles tendon,61352006
128,Achilles tendon,Structure of Achilles tendon,61352006
129,Achilles tendon,Structure of Achilles tendon,61352006
130,Acitretin,Acitretin,386938006
131,Acitretin,Acitretin,386938006
132,Acitretin,Acitretin,386938006
133,Actemra,Tocilizumab,444648007
134,Actemra,Tocilizumab,444648007
135,Actemra,Tocilizumab,444648007
136,Actos,Pioglitazone,395828009
137,Actos,Pioglitazone,395828009
138,Actos,Pioglitazone,395828009
139,Actrapid,Human insulin,96367001
140,Actrapid,Human insulin,96367001
141,Actrapid,Human insulin,96367001
142,Acute Lymphoblastic Leukemia,"Acute lymphoid leukemia, disease",91857003
143,Acute Lymphoblastic Leukemia,"Acute lymphoid leukemia, disease",91857003
144,Acute Lymphoblastic Leukemia,"Acute lymphoid leukemia, disease",91857003
145,Acute Myeloid Leukemia,"Acute myeloid leukemia, disease",91861009
146,Acute Myeloid Leukemia,"Acute myeloid leukemia, disease",91861009
147,Acute Myeloid Leukemia,"Acute myeloid leukemia, disease",91861009
148,Adalimumab,Adalimumab,407317001
149,Adalimumab,Adalimumab,407317001
150,Adalimumab,Adalimumab,407317001
151,Adderall,Product containing dexamfetamine,50868004
152,Adderall,Product containing dexamfetamine,50868004
153,Adderall,Product containing dexamfetamine,50868004
154,Addison,Addison's disease,363732003
155,Addison,Addison's disease,363732003
156,Addison,Addison's disease,363732003
157,Addison ' s disease,Addison's disease,363732003
158,Addison ' s disease,Addison's disease,363732003
159,Addison ' s disease,Addison's disease,363732003
160,Adenomyosis,Adenomyosis of uterus,784314006
161,Adenomyosis,Adenomyosis of uterus,784314006
162,Adenomyosis,Adenomyosis of uterus,784314006
163,Adhesive,"Adhesive, device",817000
164,Adhesive,"Adhesive, device",817000
165,Adhesive,"Adhesive, device",817000
166,Adrenaline,Epinephrine,387362001
167,Adrenaline,Epinephrine,387362001
168,Adrenaline,Epinephrine,387362001
169,Adriamycin,Doxorubicin,372817009
170,Adriamycin,Doxorubicin,372817009
171,Adriamycin,Doxorubicin,372817009
172,Advair,Product containing fluticasone and salmeterol in pulmonary dose form,772470004
173,Advair,Product containing fluticasone and salmeterol in pulmonary dose form,772470004
174,Advair,Product containing fluticasone and salmeterol in pulmonary dose form,772470004
175,Advil,Ibuprofen,387207008
176,Advil,Ibuprofen,387207008
177,Advil,Ibuprofen,387207008
178,Afib,Atrial fibrillation,49436004
179,Afib,Atrial fibrillation,49436004
180,Afib,Atrial fibrillation,49436004
181,Afreeza,Human insulin,96367001
182,Afreeza,Human insulin,96367001
183,Afreeza,Human insulin,96367001
184,Afrezza,Human insulin,96367001
185,Afrezza,Human insulin,96367001
186,Afrezza,Human insulin,96367001
187,Afrin,Oxymetazoline,387158001
188,Afrin,Oxymetazoline,387158001
189,Afrin,Oxymetazoline,387158001
190,Aimovig,Erenumab,771590007
191,Aimovig,Erenumab,771590007
192,Aimovig,Erenumab,771590007
193,Albumin,Albumin,52454007
194,Albumin,Albumin,52454007
195,Albumin,Albumin,52454007
196,Albuterol,Salbutamol,372897005
197,Albuterol,Salbutamol,372897005
198,Albuterol,Salbutamol,372897005
199,Aldara,Product containing only imiquimod in cutaneous dose form,786228001
200,Aldara,Product containing only imiquimod in cutaneous dose form,786228001
201,Aldara,Product containing only imiquimod in cutaneous dose form,786228001
202,Alesse,Oral contraception,5935008
203,Alesse,Oral contraception,5935008
204,Alesse,Oral contraception,5935008
205,Aleve,Naproxen,372588000
206,Aleve,Naproxen,372588000
207,Aleve,Naproxen,372588000
208,Alkaline Phosphatase,Finding of alkaline phosphatase level,365771003
209,Alkaline Phosphatase,Finding of alkaline phosphatase level,365771003
210,Alkaline Phosphatase,Finding of alkaline phosphatase level,365771003
211,Allegra,Fexofenadine,372522002
212,Allegra,Fexofenadine,372522002
213,Allegra,Fexofenadine,372522002
214,Allegra,Fexofenadine,372522002
215,Allegra,Fexofenadine,372522002
216,Allergen,Allergen,90260006
217,Allergen,Allergen,90260006
218,Allergen,Allergen,90260006
219,Allergic,Allergic disposition,609328004
220,Allergic,Allergic disposition,609328004
221,Allergic,Allergic disposition,609328004
222,Allergic,Allergic disposition,609328004
223,Allergic,Allergic disposition,609328004
224,Allergy,Allergic disposition,609328004
225,Allergy,Allergic disposition,609328004
226,Allergy,Allergic disposition,609328004
227,Alleve,Naproxen,372588000
228,Alleve,Naproxen,372588000
229,Alleve,Naproxen,372588000
230,Alpha Lipoic Acid,Lipoic acid,70496003
231,Alpha Lipoic Acid,Lipoic acid,70496003
232,Alpha Lipoic Acid,Lipoic acid,70496003
233,Alprazolam,Alprazolam,386983007
234,Alprazolam,Alprazolam,386983007
235,Alprazolam,Alprazolam,386983007
236,Alzheimer,Alzheimer's disease,26929004
237,Alzheimer,Alzheimer's disease,26929004
238,Alzheimer,Alzheimer's disease,26929004
239,Alzheimer ' s disease,Alzheimer's disease,26929004
240,Alzheimer ' s disease,Alzheimer's disease,26929004
241,Alzheimer ' s disease,Alzheimer's disease,26929004
242,Alzheimer ’ s disease,Alzheimer's disease,26929004
243,Alzheimer ’ s disease,Alzheimer's disease,26929004
244,Alzheimer ’ s disease,Alzheimer's disease,26929004
245,Amaryl,Glimepiride,386966003
246,Amaryl,Glimepiride,386966003
247,Amaryl,Glimepiride,386966003
248,Ambien,Zolpidem,387569009
249,Ambien,Zolpidem,387569009
250,Ambien,Zolpidem,387569009
251,Ambien CR,Zolpidem,387569009
252,Ambien CR,Zolpidem,387569009
253,Ambien CR,Zolpidem,387569009
254,Amerge,Naratriptan,363571003
255,Amerge,Naratriptan,363571003
256,Amerge,Naratriptan,363571003
257,Amethia,Product containing ethinylestradiol and levonorgestrel in oral dose form,768279005
258,Amethia,Product containing ethinylestradiol and levonorgestrel in oral dose form,768279005
259,Amethia,Product containing ethinylestradiol and levonorgestrel in oral dose form,768279005
260,Amethyst,Product containing ethinylestradiol and levonorgestrel,412420008
261,Amethyst,Product containing ethinylestradiol and levonorgestrel,412420008
262,Amethyst,Product containing ethinylestradiol and levonorgestrel,412420008
263,Amino acid,Amino acid,52518006
264,Amino acid,Amino acid,52518006
265,Amino acid,Amino acid,52518006
266,Anabolic Steroids,Anabolic steroid,111151007
267,Anabolic Steroids,Anabolic steroid,111151007
268,Anabolic Steroids,Anabolic steroid,111151007
269,Anafranil,Clomipramine,372903001
270,Anafranil,Clomipramine,372903001
271,Anafranil,Clomipramine,372903001
272,Anger,Feeling angry,75408008
273,Anger,Feeling angry,75408008
274,Anger,Feeling angry,75408008
275,Animas,"Insulin pump, device",69805005
276,Animas,"Insulin pump, device",69805005
277,Animas,"Insulin pump, device",69805005
278,Animas pump,"Insulin pump, device",69805005
279,Animas pump,"Insulin pump, device",69805005
280,Animas pump,"Insulin pump, device",69805005
281,Animas pumps,"Insulin pump, device",69805005
282,Animas pumps,"Insulin pump, device",69805005
283,Animas pumps,"Insulin pump, device",69805005
284,Antihistamine,Substance with histamine receptor antagonist mechanism of action,372806008
285,Antihistamine,Substance with histamine receptor antagonist mechanism of action,372806008
286,Antihistamine,Substance with histamine receptor antagonist mechanism of action,372806008
287,Apidra,Insulin glulisine,411530000
288,Apidra,Insulin glulisine,411530000
289,Apidra,Insulin glulisine,411530000
290,Apri,Product containing only desogestrel and ethinylestradiol,775493004
291,Apri,Product containing only desogestrel and ethinylestradiol,775493004
292,Apri,Product containing only desogestrel and ethinylestradiol,775493004
293,Apriso,Mesalazine,387501005
294,Apriso,Mesalazine,387501005
295,Apriso,Mesalazine,387501005
296,Arava,Leflunomide,386981009
297,Arava,Leflunomide,386981009
298,Arava,Leflunomide,386981009
299,Arcoxia,Etoricoxib,409134009
300,Arcoxia,Etoricoxib,409134009
301,Arcoxia,Etoricoxib,409134009
302,Arimidex,Anastrozole,386910003
303,Arimidex,Anastrozole,386910003
304,Arimidex,Anastrozole,386910003
305,Arm,Upper limb structure,53120007
306,Arm,Upper limb structure,53120007
307,Arm,Upper limb structure,53120007
308,Armodafinil,Armodafinil,428694009
309,Armodafinil,Armodafinil,428694009
310,Armodafinil,Armodafinil,428694009
311,Asacol,Mesalazine,387501005
312,Asacol,Mesalazine,387501005
313,Asacol,Mesalazine,387501005
314,Asacol HD,Mesalazine,387501005
315,Asacol HD,Mesalazine,387501005
316,Asacol HD,Mesalazine,387501005
317,Ashlyna,Product containing only ethinylestradiol and levonorgestrel,775866006
318,Ashlyna,Product containing only ethinylestradiol and levonorgestrel,775866006
319,Ashlyna,Product containing only ethinylestradiol and levonorgestrel,775866006
320,Aspercreme,Product containing lidocaine in cutaneous dose form,771731006
321,Aspercreme,Product containing lidocaine in cutaneous dose form,771731006
322,Aspercreme,Product containing lidocaine in cutaneous dose form,771731006
323,Asperger,Asperger's disorder,23560001
324,Asperger,Asperger's disorder,23560001
325,Asperger,Asperger's disorder,23560001
326,Asperger ' s syndrome,Asperger's disorder,23560001
327,Asperger ' s syndrome,Asperger's disorder,23560001
328,Asperger ' s syndrome,Asperger's disorder,23560001
329,Aspergers,Asperger's disorder,23560001
330,Aspergers,Asperger's disorder,23560001
331,Aspergers,Asperger's disorder,23560001
332,Astelin,Azelastine,372520005
333,Astelin,Azelastine,372520005
334,Astelin,Azelastine,372520005
335,Atarax,Hydroxyzine,372856003
336,Atarax,Hydroxyzine,372856003
337,Atarax,Hydroxyzine,372856003
338,Atenolol,Atenolol,318434003
339,Atenolol,Atenolol,318434003
340,Atenolol,Atenolol,318434003
341,Ativan,Lorazepam,387106007
342,Ativan,Lorazepam,387106007
343,Ativan,Lorazepam,387106007
344,Atkins,Atkins diet,765024005
345,Atkins,Atkins diet,765024005
346,Atkins,Atkins diet,765024005
347,Aubra,Product containing ethinylestradiol and levonorgestrel,412420008
348,Aubra,Product containing ethinylestradiol and levonorgestrel,412420008
349,Aubra,Product containing ethinylestradiol and levonorgestrel,412420008
350,Autistic,Autistic disorder,408856003
351,Autistic,Autistic disorder,408856003
352,Autistic,Autistic disorder,408856003
353,Auvi,Injection of epinephrine,313191000
354,Auvi,Injection of epinephrine,313191000
355,Auvi,Injection of epinephrine,313191000
356,AvPD,Avoidant personality disorder,37746008
357,AvPD,Avoidant personality disorder,37746008
358,AvPD,Avoidant personality disorder,37746008
359,Avastin,Bevacizumab,409406007
360,Avastin,Bevacizumab,409406007
361,Avastin,Bevacizumab,409406007
362,Aviane,Product containing ethinylestradiol and levonorgestrel,412420008
363,Aviane,Product containing ethinylestradiol and levonorgestrel,412420008
364,Aviane,Product containing ethinylestradiol and levonorgestrel,412420008
365,Avocados,Avocado,735249009
366,Avocados,Avocado,735249009
367,Avocados,Avocado,735249009
368,Avoidant Personality Disorder,Avoidant personality disorder,37746008
369,Avoidant Personality Disorder,Avoidant personality disorder,37746008
370,Avoidant Personality Disorder,Avoidant personality disorder,37746008
371,Axert,Almotriptan,363569003
372,Axert,Almotriptan,363569003
373,Axert,Almotriptan,363569003
374,Aza,Azathioprine,372574004
375,Aza,Azathioprine,372574004
376,Aza,Azathioprine,372574004
377,Azelastine,Azelastine,372520005
378,Azelastine,Azelastine,372520005
379,Azelastine,Azelastine,372520005
380,Azithromycin,Azithromycin,387531004
381,Azithromycin,Azithromycin,387531004
382,Azithromycin,Azithromycin,387531004
383,Azo,Phenazopyridine,15785009
384,Azo,Phenazopyridine,15785009
385,Azo,Phenazopyridine,15785009
386,B12,Cyanocobalamin,419382002
387,B12,Cyanocobalamin,419382002
388,B12,Cyanocobalamin,419382002
389,B12 deficiency,Cobalamin deficiency,190634004
390,B12 deficiency,Cobalamin deficiency,190634004
391,B12 deficiency,Cobalamin deficiency,190634004
392,B12 injections,Injection of vitamin B12,385795005
393,B12 injections,Injection of vitamin B12,385795005
394,B12 injections,Injection of vitamin B12,385795005
395,B12 supplement,Vitamin B12 supplement,438511000124100
396,B12 supplement,Vitamin B12 supplement,438511000124100
397,B12 supplement,Vitamin B12 supplement,438511000124100
398,B12 supplements,Vitamin B12 supplement,438511000124100
399,B12 supplements,Vitamin B12 supplement,438511000124100
400,B12 supplements,Vitamin B12 supplement,438511000124100
401,B2,Riboflavin,13235001
402,B2,Riboflavin,13235001
403,B2,Riboflavin,13235001
404,B27,Human leukocyte antigen B27,34453005
405,B27,Human leukocyte antigen B27,34453005
406,B27,Human leukocyte antigen B27,34453005
407,B6,Vitamin B6 compound,259662009
408,B6,Vitamin B6 compound,259662009
409,B6,Vitamin B6 compound,259662009
410,BBT,Basal body temperature,300076005
411,BBT,Basal body temperature,300076005
412,BBT,Basal body temperature,300076005
413,BC,Contraception,13197004
414,BC,Contraception,13197004
415,BC,Contraception,13197004
416,BC pill,Oral contraception,5935008
417,BC pill,Oral contraception,5935008
418,BC pill,Oral contraception,5935008
419,BC pills,Oral contraception (finding),5935008
420,BC pills,Oral contraception (finding),5935008
421,BC pills,Oral contraception (finding),5935008
422,BCG vaccine,Bacillus Calmette-Guerin vaccination,42284007
423,BCG vaccine,Bacillus Calmette-Guerin vaccination,42284007
424,BCG vaccine,Bacillus Calmette-Guerin vaccination,42284007
425,BCP,Oral contraception,5935008
426,BCP,Oral contraception,5935008
427,BCP,Oral contraception,5935008
428,BCPs,Oral contraception,5935008
429,BCPs,Oral contraception,5935008
430,BCPs,Oral contraception,5935008
431,BDD,Body dysmorphic disorder,83482000
432,BDD,Body dysmorphic disorder,83482000
433,BDD,Body dysmorphic disorder,83482000
434,BF,Body fat observable,248300009
435,BF,Body fat observable,248300009
436,BF,Body fat observable,248300009
437,BG,Finding of blood glucose level,365812005
438,BG,Finding of blood glucose level,365812005
439,BG,Finding of blood glucose level,365812005
440,BGL,Finding of blood glucose level,365812005
441,BGL,Finding of blood glucose level,365812005
442,BGL,Finding of blood glucose level,365812005
443,BGL,Finding of blood glucose level,365812005
444,BGL,Finding of blood glucose level,365812005
445,BGs,Finding of blood glucose level,365812005
446,BGs,Finding of blood glucose level,365812005
447,BGs,Finding of blood glucose level,365812005
448,BID,Twice a day,229799001
449,BID,Twice a day,229799001
450,BID,Twice a day,229799001
451,BM,Bowel action,39211005
452,BM,Bowel action,39211005
453,BM,Bowel action,39211005
454,BMI,Body mass index,60621009
455,BMI,Body mass index,60621009
456,BMI,Body mass index,60621009
457,BMR,Basal metabolic rate,165109007
458,BMR,Basal metabolic rate,165109007
459,BMR,Basal metabolic rate,165109007
460,BMT,Transplantation of bone marrow,23719005
461,BMT,Transplantation of bone marrow,23719005
462,BMT,Transplantation of bone marrow,23719005
463,BODY,Body structure,123037004
464,BODY,Body structure,123037004
465,BODY,Body structure,123037004
466,BP,Blood pressure,75367002
467,BP,Blood pressure,75367002
468,BP,Blood pressure,75367002
469,BPA,Bisphenol A,255923006
470,BPA,Bisphenol A,255923006
471,BPA,Bisphenol A,255923006
472,BPD,Borderline personality disorder,20010003
473,BPD,Borderline personality disorder,20010003
474,BPD,Borderline personality disorder,20010003
475,BPPV,Benign paroxysmal positional vertigo,111541001
476,BPPV,Benign paroxysmal positional vertigo,111541001
477,BPPV,Benign paroxysmal positional vertigo,111541001
478,BRAF,B-Raf inhibitor,734620004
479,BRAF,B-Raf inhibitor,734620004
480,BRAF,B-Raf inhibitor,734620004
481,BRCA1,Breast cancer type 1 susceptibility protein,405827002
482,BRCA1,Breast cancer type 1 susceptibility protein,405827002
483,BRCA1,Breast cancer type 1 susceptibility protein,405827002
484,BRCA1,Breast cancer type 1 susceptibility protein,405827002
485,BRCA1,Breast cancer type 1 susceptibility protein,405827002
486,BRCA2,BRCA2 gene mutation positive,412738007
487,BRCA2,BRCA2 gene mutation positive,412738007
488,BRCA2,BRCA2 gene mutation positive,412738007
489,BV,Bacterial vaginosis,419760006
490,BV,Bacterial vaginosis,419760006
491,BV,Bacterial vaginosis,419760006
492,Bacterial infections,Bacterial infectious disease,87628006
493,Bacterial infections,Bacterial infectious disease,87628006
494,Bacterial infections,Bacterial infectious disease,87628006
495,Bactrim,Trimethoprim,387179001
496,Bactrim,Trimethoprim,387179001
497,Bactrim,Trimethoprim,387179001
498,Balantitis,Balanitis,44882003
499,Balantitis,Balanitis,44882003
500,Balantitis,Balanitis,44882003
501,Barrett,Barrett's ulcer of esophagus,196609006
502,Barrett,Barrett's ulcer of esophagus,196609006
503,Barrett,Barrett's ulcer of esophagus,196609006
504,Barrett ' s esophagus,Barrett's esophagus,302914006
505,Barrett ' s esophagus,Barrett's esophagus,302914006
506,Barrett ' s esophagus,Barrett's esophagus,302914006
507,Basaglar,Insulin glargine,411529005
508,Basaglar,Insulin glargine,411529005
509,Basaglar,Insulin glargine,411529005
510,Belbuca,Buprenorphine,387173000
511,Belbuca,Buprenorphine,387173000
512,Belbuca,Buprenorphine,387173000
513,Belsomra,Suvorexant,708714001
514,Belsomra,Suvorexant,708714001
515,Belsomra,Suvorexant,708714001
516,Benadryl,Diphenhydramine,372682005
517,Benadryl,Diphenhydramine,372682005
518,Benadryl,Diphenhydramine,372682005
519,Bentyl,Dicycloverine,372732007
520,Bentyl,Dicycloverine,372732007
521,Bentyl,Dicycloverine,372732007
522,Benzodiazepine,Benzodiazepine,372664007
523,Benzodiazepine,Benzodiazepine,372664007
524,Benzodiazepine,Benzodiazepine,372664007
525,Benzodiazepine,Benzodiazepine,372664007
526,Benzodiazepine,Benzodiazepine,372664007
527,Berberine,Berberine,200001
528,Berberine,Berberine,200001
529,Berberine,Berberine,200001
530,Betaine HCL,Betaine hydrochloride,391841000
531,Betaine HCL,Betaine hydrochloride,391841000
532,Betaine HCL,Betaine hydrochloride,391841000
533,Betamethasone,Betamethasone,116571008
534,Betamethasone,Betamethasone,116571008
535,Betamethasone,Betamethasone,116571008
536,Beyaz,Product containing drospirenone and ethinylestradiol and levomefolic acid,786190008
537,Beyaz,Product containing drospirenone and ethinylestradiol and levomefolic acid,786190008
538,Beyaz,Product containing drospirenone and ethinylestradiol and levomefolic acid,786190008
539,Biofreeze,Product containing menthol (medicinal product),73170009
540,Biofreeze,Product containing menthol (medicinal product),73170009
541,Biofreeze,Product containing menthol (medicinal product),73170009
542,Biotin,Biotin,8919000
543,Biotin,Biotin,8919000
544,Biotin,Biotin,8919000
545,Birth Control,Contraception,13197004
546,Birth Control,Contraception,13197004
547,Birth Control,Contraception,13197004
548,Bleeding,Hemorrhage,50960005
549,Bleeding,Hemorrhage,50960005
550,Bleeding,Hemorrhage,50960005
551,Bleeding,Hemorrhage,50960005
552,Blincyto,Blinatumomab,716122004
553,Blincyto,Blinatumomab,716122004
554,Blincyto,Blinatumomab,716122004
555,Blisovi,Product containing only ethinylestradiol and norethisterone,775868007
556,Blisovi,Product containing only ethinylestradiol and norethisterone,775868007
557,Blisovi,Product containing only ethinylestradiol and norethisterone,775868007
558,Blood pressure meds,Hypotensive agent,1182007
559,Blood pressure meds,Hypotensive agent,1182007
560,Blood pressure meds,Hypotensive agent,1182007
561,Bone,bone part,119186007
562,Bone,bone part,119186007
563,Bone,bone part,119186007
564,Bone,bone part,119186007
565,Botox,Clostridium botulinum toxin,11894001
566,Botox,Clostridium botulinum toxin,11894001
567,Botox,Clostridium botulinum toxin,11894001
568,Botox injection,Product containing botulinum toxin type A,427412002
569,Botox injection,Product containing botulinum toxin type A,427412002
570,Botox injection,Product containing botulinum toxin type A,427412002
571,Botox injections,Botulinum toxin type A,108890005
572,Botox injections,Botulinum toxin type A,108890005
573,Botox injections,Botulinum toxin type A,108890005
574,Botox treatment,Injection of botulinum toxin,404909007
575,Botox treatment,Injection of botulinum toxin,404909007
576,Botox treatment,Injection of botulinum toxin,404909007
577,Botox treatments,Injection of botulinum toxin,404909007
578,Botox treatments,Injection of botulinum toxin,404909007
579,Botox treatments,Injection of botulinum toxin,404909007
580,Brain,Brain structure,12738006
581,Brain,Brain structure,12738006
582,Brain,Brain structure,12738006
583,Brentuximab,Brentuximab vedotin,713395006
584,Brentuximab,Brentuximab vedotin,713395006
585,Brentuximab,Brentuximab vedotin,713395006
586,Brintellix,Vortioxetine,708717008
587,Brintellix,Vortioxetine,708717008
588,Brintellix,Vortioxetine,708717008
589,Bupropion,Bupropion,387564004
590,Bupropion,Bupropion,387564004
591,Bupropion,Bupropion,387564004
592,Bupropion,Bupropion,387564004
593,Bupropion,Bupropion,387564004
594,Bupropion,Bupropion,387564004
595,Buspar,Buspirone,387523009
596,Buspar,Buspirone,387523009
597,Buspar,Buspirone,387523009
598,Buspirone,Buspirone,387523009
599,Buspirone,Buspirone,387523009
600,Buspirone,Buspirone,387523009
601,Buspirone,Buspirone,387523009
602,Butalbital,Butalbital,387563005
603,Butalbital,Butalbital,387563005
604,Butalbital,Butalbital,387563005
605,Butrans,Product containing only buprenorphine in transdermal dose form,778570009
606,Butrans,Product containing only buprenorphine in transdermal dose form,778570009
607,Butrans,Product containing only buprenorphine in transdermal dose form,778570009
608,Butrans patch,Product containing buprenorphine,31684002
609,Butrans patch,Product containing buprenorphine,31684002
610,Butrans patch,Product containing buprenorphine,31684002
611,Bydureon,Exenatide,416859008
612,Bydureon,Exenatide,416859008
613,Bydureon,Exenatide,416859008
614,Byetta,Exenatide,416859008
615,Byetta,Exenatide,416859008
616,Byetta,Exenatide,416859008
617,C1,Bone structure of atlas,14806007
618,C1,Bone structure of atlas,14806007
619,C1,Bone structure of atlas,14806007
620,CA125,Antibody to CA-125 measurement,37886006
621,CA125,Antibody to CA-125 measurement,37886006
622,CA125,Antibody to CA-125 measurement,37886006
